dsNome,nrCpfCnpj,sgEstado,dtAbert,dtValcad,cdSituac,dsSituac,nrCep,dsEnd,nrEnd,dsBairro,dsCidade,dsCompl,nrDDD,nrTel,nrDDDCel,nrCel,dsEmail,cdPess,cdAtvCl,cdAutscr,cdGrupo,cdPais,bensImoveis[0].idAcao,bensImoveis[0].cdPais,bensImoveis[0].nmImovel,bensImoveis[0].tpImovel,bensImoveis[0].nmEnd,bensImoveis[0].nrEnd,bensImoveis[0].nmBairro,bensImoveis[0].nmCidade,bensImoveis[0].nrCep,bensImoveis[0].sgEstado,dadosBancarios[0].idAcao,dadosBancarios[0].nrBanco,dadosBancarios[0].nrAgencia,dadosBancarios[0].nrConta,dadosBancarios[0].dvConta,dadosBancarios[0].idPrincipal,dadosBancarios[0].dtAbert,dadosPf.dtNasc,dadosPf.tpSexo,dadosPf.cdProf,dadosPf.tpDoc,dadosPf.nrDoc,dadosPf.sgEmissor,dadosPf.dtEmissao,dadosPf.sgEstadoNat,dadosPf.cdEstCivil,dadosPf.idUniao,dadosPf.nomeMae,dadosPf.nomePai,dadosPf.naturalidade,dadosPf.nomeCidadeNaturalidade,dadosPf.nacionalidade,dadosPf.idGrinst,dadosPf.nrDepend,dadosPf.idLe6515,dadosPf.cdPais,dadosPj.amFatMes,dadosPj.cdCapital,dadosPj.cdSetor,dadosPj.cdTribute,dadosPj.dtAberturaEmpresa,dadosPj.idConsti,dadosPj.idContAcio,dadosPj.nomeFantasia,dadosPj.qtFuncio,dadosProfissionais.cdProf,dadosProfissionais.dsCargo,dadosProfissionais.dtAdmis,dadosProfissionais.vlRendaBruta,dadosProfissionais.vlRendaLiquida,dadosProfissionais.cdPorte,dadosProfissionais.cdLoctb,dadosProfissionais.cdPais,dadosProfissionais.nrCep,dadosProfissionais.nmEnd,dadosProfissionais.nrEnd,dadosProfissionais.nmBairro,dadosProfissionais.nmCidade,dadosProfissionais.sgEstado,refPessoais[0].nome,refPessoais[0].nrDDDTel,refPessoais[0].nrTel
Estrela Confecções Têxteis LTDA,40321739000110,GO,20060101,20260723,1,ATIVO,99490584,Avenida Brasil,139,Bela Vista,Goiânia,,90,2896463871,21,968131569,estrela@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,341,4282,839557,9,S,19950101,,,,,,,,,,,,,,,,,,,,2572456,E,3,1,20060101,2,1,Estrela,476,,,,,,,,,,,,,,,,,
Ipê Materiais de Construção LTDA,81548333000151,RS,20050101,20260723,1,ATIVO,10026650,Alameda Santos,699,Vila Nova,Porto Alegre,,45,2475849628,69,996343576,ipe@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,237,7205,782155,4,S,19950101,20200101,,,,,,,,,,,,,,,,,,,3642077,M,2,1,20050101,11,1,Ipê,178,,,,,,,,,,,,,,,,,
João Pedro Almeida,49721047830,PE,20190101,20260723,1,ATIVO,78328931,Rua XV de Novembro,3638,Jardim América,Recife,,55,20045855,17,905098336,joao.pedro.almeida@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,33,4410,270651,9,S,19900101,19880617,M,5,1,601323533,SSP,20100101,PE,1,1,Mãe de João,,,,1,7,3,N,1,,,,,,,,,,5,ENGENHEIRO,20180101,2496.94,4368.37,1,1,1,29176799,Rua das Acácias,873,Industrial,Recife,PE,Referência de João,37,25856342
Rafael Gomes Pereira,92391366906,GO,20060101,20260723,1,ATIVO,72434361,Alameda Santos,1143,Centro,Goiânia,,99,33862252,63,956956791,rafael.gomes.pereira@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,104,7214,988404,1,S,19900101,19880314,M,5,1,384616279,SSP,20100101,GO,5,1,Mãe de Rafael,,,,1,3,1,N,1,,,,,,,,,,5,GERENTE,20180101,5735.17,3088.24,1,1,1,48283469,Avenida Brasil,2938,Centro,Goiânia,GO,Referência de Rafael,88,24420907
Rodrigo Barbosa Teixeira,56921244830,PE,20170101,20260723,1,ATIVO,96634160,Rua das Acácias,1770,Vila Nova,Recife,,83,31433506,46,974284458,rodrigo.barbosa.teix@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,104,3934,240142,8,S,19900101,19730228,F,2,1,445503926,SSP,20100101,PE,2,1,Mãe de Rodrigo,,,,1,4,0,N,1,,,,,,,,,,2,ADVOGADO,20180101,5316.24,5797.38,1,1,1,26056778,Rua do Comércio,1044,Bela Vista,Recife,PE,Referência de Rodrigo,96,34912924
Felipe Andrade Moura,68521316020,CE,20110101,20260723,1,ATIVO,92879550,Avenida Paulista,2316,Jardim América,Fortaleza,,29,25373519,24,963125488,felipe.andrade.moura@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,33,1538,941559,2,S,19900101,19940419,M,5,1,656060982,SSP,20100101,CE,2,1,Mãe de Felipe,,,,1,4,2,N,1,,,,,,,,,,5,ENGENHEIRO,20180101,6044.54,12922.15,3,1,1,58306337,Avenida Brasil,1997,Boa Vista,Fortaleza,CE,Referência de Felipe,15,31741858
Camila Ferreira Nunes,20465722032,PA,20070101,20260723,1,ATIVO,75351652,Alameda Santos,3715,Jardim América,Belém,,97,22995009,84,933232700,camila.ferreira.nune@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,341,9348,582297,0,S,19900101,19720823,M,1,1,258234480,SSP,20100101,PA,3,2,Mãe de Camila,,,,1,6,1,N,1,,,,,,,,,,1,ANALISTA,20180101,3712.01,8025.09,5,1,1,92906640,Avenida Paulista,726,Boa Vista,Belém,PA,Referência de Camila,32,27092909
Larissa Menezes Cunha,13322398625,CE,20220101,20260723,1,ATIVO,62232619,Avenida Brasil,119,Centro,Fortaleza,,99,37014617,22,990647509,larissa.menezes.cunh@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,237,3481,923857,4,S,19900101,20000324,F,3,1,261042296,SSP,20100101,CE,3,2,Mãe de Larissa,,,,1,8,2,N,1,,,,,,,,,,3,GERENTE,20180101,9086.41,14984.55,3,1,1,20907299,Rua do Comércio,1069,Centro,Fortaleza,CE,Referência de Larissa,46,34876985
Jacarandá Móveis Planejados ME,64283321000123,MG,20150101,20260723,1,ATIVO,49986661,Rua das Acácias,1996,Vila Nova,Belo Horizonte,,20,2971648991,32,968483617,jacaranda@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,341,271,755447,6,S,19950101,,,,,,,,,,,,,,,,,,,,272434,E,1,1,20150101,7,1,Jacarandá,264,,,,,,,,,,,,,,,,,
Fernanda Oliveira Costa,72982387522,PA,20090101,20260723,1,ATIVO,71137030,Rua do Comércio,437,Industrial,Belém,,87,21736321,53,966098272,fernanda.oliveira.co@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,1,9292,159302,0,S,19900101,19910418,M,3,1,685732758,SSP,20100101,PA,3,1,Mãe de Fernanda,,,,1,3,1,N,1,,,,,,,,,,3,PROFESSOR,20180101,2971.72,8116.82,2,1,1,58010632,Avenida Brasil,3576,Bela Vista,Belém,PA,Referência de Fernanda,97,35996487
Lucas Aparecido Melo,74204672930,RJ,20140101,20260723,1,ATIVO,35003123,Rua do Comércio,1813,Centro,Rio de Janeiro,,79,20199899,87,929549932,lucas.aparecido.melo@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,341,8452,95838,8,S,19900101,19740427,M,3,1,215503537,SSP,20100101,RJ,2,1,Mãe de Lucas,,,,1,5,1,N,1,,,,,,,,,,3,MEDICO,20180101,22736.39,12207.78,8,1,1,97912318,Rua das Acácias,2108,Jardim América,Rio de Janeiro,RJ,Referência de Lucas,24,21374160
Patrícia Cardoso Pinto,22979617156,CE,20100101,20260723,1,ATIVO,98358477,Alameda Santos,203,Vila Nova,Fortaleza,,23,30858295,33,934411072,patricia.cardoso.pin@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,104,4991,73681,9,S,19900101,19860515,M,1,1,896850529,SSP,20100101,CE,4,1,Mãe de Patrícia,,,,1,9,1,N,1,,,,,,,,,,1,MEDICO,20180101,15784.68,16232.40,6,1,1,22596597,Alameda Santos,3772,Boa Vista,Fortaleza,CE,Referência de Patrícia,66,31582753
Rodrigo Barbosa Teixeira,90602204801,PE,20230101,20260723,1,ATIVO,74580876,Rua Sete de Setembro,896,Centro,Recife,,30,38559331,29,996364179,rodrigo.barbosa.teix@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,237,2935,167705,9,S,19900101,19910927,F,6,1,200405597,SSP,20100101,PE,4,2,Mãe de Rodrigo,,,,1,3,1,N,1,,,,,,,,,,6,ANALISTA,20180101,12224.63,14851.47,5,1,1,89177801,Rua do Comércio,2668,Industrial,Recife,PE,Referência de Rodrigo,18,24459634
Litoral Turismo e Eventos SA,75351314000138,CE,20140101,20260723,1,ATIVO,22452487,Travessa dos Pioneiros,3095,Bela Vista,Fortaleza,,92,3159119606,11,984684040,litoral@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,341,8883,799715,8,S,19950101,,,,,,,,,,,,,,,,,,,,2795583,N,1,1,20140101,9,1,Litoral,96,,,,,,,,,,,,,,,,,
Delta Engenharia e Projetos SA,69730284000178,GO,20010101,20260723,1,ATIVO,64057050,Rua Sete de Setembro,138,Bela Vista,Goiânia,,11,2647614531,14,991121819,delta@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,341,5255,84731,1,S,19950101,,,,,,,,,,,,,,,,,,,,1824249,M,1,1,20010101,5,2,Delta,127,,,,,,,,,,,,,,,,,
Fernanda Oliveira Costa,59400464363,GO,20150101,20260723,1,ATIVO,53949271,Rua do Comércio,1561,Jardim América,Goiânia,,57,30947856,67,913166332,fernanda.oliveira.co@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,104,1467,239962,3,S,19900101,19790211,M,5,1,714639246,SSP,20100101,GO,4,2,Mãe de Fernanda,,,,1,2,2,N,1,,,,,,,,,,5,GERENTE,20180101,7893.41,15879.32,2,1,1,95385991,Avenida Brasil,1524,Bela Vista,Goiânia,GO,Referência de Fernanda,20,30237906
Felipe Andrade Moura,59853714760,BA,20230101,20260723,1,ATIVO,23922156,Rua das Acácias,1515,Centro,Salvador,,83,26452045,34,963509845,felipe.andrade.moura@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,237,7968,876199,4,S,19900101,19870226,F,6,1,734126890,SSP,20100101,BA,4,1,Mãe de Felipe,,,,1,1,0,N,1,,,,,,,,,,6,MEDICO,20180101,6161.43,11677.20,8,1,1,93013896,Avenida Paulista,2965,Industrial,Salvador,BA,Referência de Felipe,76,26294021
Ipê Materiais de Construção LTDA,91354789000134,PR,20190101,20260723,1,ATIVO,81323242,Rua Sete de Setembro,1308,Jardim América,Curitiba,,18,2539882719,77,905598628,ipe@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,33,3185,837506,9,S,19950101,,,,,,,,,,,,,,,,,,,,3205752,N,2,2,20190101,2,1,Ipê,139,,,,,,,,,,,,,,,,,
Kalunga Distribuidora de Peças LTDA,65814937000146,MG,20130101,20260723,1,ATIVO,97784538,Rua XV de Novembro,3239,Bela Vista,Belo Horizonte,,33,2900959015,13,961933710,kalunga@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,104,5978,316441,4,S,19950101,,,,,,,,,,,,,,,,,,,,3409202,N,2,1,20130101,3,1,Kalunga,183,,,,,,,,,,,,,,,,,
João Pedro Almeida,43107015580,RS,20130101,20260723,1,ATIVO,81539551,Avenida Brasil,25,Bela Vista,Porto Alegre,,93,23890795,93,943413078,joao.pedro.almeida@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,237,7614,187573,5,S,19900101,19880827,F,3,1,992912102,SSP,20100101,RS,1,2,Mãe de João,,,,1,2,4,N,1,,,,,,,,,,3,PROFESSOR,20180101,19112.77,9626.12,4,1,1,66364938,Alameda Santos,459,Centro,Porto Alegre,RS,Referência de João,75,36421113
